,term,definition,break_down
768,Open Cover,"Open cover is a type of marine insurance policy in which the insurer agrees to provide coverage for all cargo shipped during the policy period. Open cover insurance is most commonly purchased by companies that make frequent shipments, as the blanket coverage keeps them from having to purchase a new policy each time a shipment is made.","Open cover policies are commonly used in international trade, specifically by companiesinvolved in high volume tradeoverlong periods of time. Companies purchase this type of coverage because it eliminates the need to negotiateterms of a new policy each time a shipment is made. Since the insured is agreeing to purchase a longer-term contract, it may be able to realize lower premiumsbecause the insurer does not have to spend time on administrative activitiesand because the insurer benefits from a having a guaranteed premium over a longer period of time."
769,Opinion Of Title,The opinion of title is the legal opinion which atteststo the validity of the title deed to a parcel of property. The opinion is sometimes issued in conjunction with an insuring title agency.,"Opinions of title are usually issued by attorneys. Title companies use the opinion made by the attorney to issue a document called a title report. This is a legal document that can be used in varying ways, but is most often in the process of purchasing a property, researching ownership or verifying a lien status."
770,Orphan Drug,"Orphan drug is a drug or biological product that treats a rare condition or disease. A condition is considered rare if it affects fewer than 200,000 people in the U.S., or if it affects more than 200,000 people but the drug companies do not expect to recover the costs of developing and marketing a drug to treat the condition.","An orphan drug may either be a new product or an approved product that is being used to treat a rare condition. The Orphan Drug Designation program by the Food and Drug Administration provides orphan status to drugs and biologic products such as a vaccine or blood product that are intended to treat, diagnose or prevent rare diseases or conditions."
771,Out-Of-Pocket Expenses,"Out-of-pocket expenses refer to costs that individuals pay out of their own cash reserves. The widely used phrase applies to the costs required to maintain a fixed asset, costs incurred by an insurance holder when he receives medical care, work-related and business expenses that are later reimbursed by an employer, and personal expenses in several other categories.","Common examples of out-of-pocket expenses include gasoline for a car, repairing an old building, taking a business client to lunch, and certain medical payments such as prescription costs. For example, if one purchases a car and later pays to have it repaired and filled with gas, the repairs and the gas are both out-of-pocket expenses, as they are costs above and beyond the cost of purchasing the car, which the car owner has to pay out of his personal budget. The purpose of out-of-pocket expenses varies based on the category under discussion."
772,Out-of-Pocket Limit,"The out-of-pocket limit is the maximum amount a health insurance policyholder will pay for covered healthcare over the course of a policy year. The out-of-pocket limit, also called the out-of-pocket maximum, helps the policyholder control risk by placing a cap on the most they could spend. It also helps the insurer control risk by making the policyholder responsible for a portion of his or her healthcare costs. After the policyholder meets the out-of-pocket limit, the health insurance company pays 100 percentof allowed healthcare expenses, which helps the individual avoid major financial problems associated with high healthcare costs in years when theyneeda lot of treatment.","Health insurance premiums do not count toward the out-of-pocket limit. In addition, because some types of healthcare coverage a policyholder may want to receive (such as elective surgery) might not be covered by the health insurance plan, a policyholder could still end up paying more than the out-of-pocket limit in agiven year. Balance billing charges for out-of-network services also do not count toward out-of-pocket limits."
773,Over-Line,"Over-line insurance coverage exceeds the amount typically offered by an insurer or reinsurer. Over-line coverage can occur when an insurer underwrites more policies than normal, or when a reinsurer accepts a larger amount of liabilities through a reinsurance treaty than it usually does.","Over-line coverage refers to the amount of insurance that exceeds an insurer's normal capacity. This is important because insurers primarily make money through their underwriting activities. In exchange for indemnifying a policyholder, the insurance company collects a premium, and invests this premium in a variety of different assets in order to generate a profit. Investments tend to be low risk and relatively liquid, since the insurer needs to be sure that it has access to funds if claims are made against its policies. The amount of liability that an insurer can take on is referred to as its capacity."
774,Overall Liquidity Ratio,"Overall liquidity ratio is the measurement of a companys capacity to pay for its liabilities with its assets. The overall liquidity ratio is calculated by dividing total assets by the difference between total liabilities and conditional reserves. This ratio is used in insurance company analysis, as well as in the analysis of financial institutions.","Regulators use financial metrics, like the overall liquidity ratio, to determine whether an insurer, bank, or other financial company is healthy enough to cover its liabilities. Other similar metrics include the quick liquidity and current liquidity ratios. Quick liquidity compares liabilities to assets that are readily available for use, including cash, short-term investments, government bonds, and unaffiliated investments."
775,Oversubscribed,"Oversubscribed is the term for when the demand for an IPO's shares is greater thanthe number of shares issued. When a new security issue is oversubscribed, underwriters or others offering the security can adjust the price or offer more securities to reflect the higher-than-anticipated demand.","An oversubscribed security offering often occurs when the interest for an initial public offering (IPO) of securities exceeds the total number of shares issued by the underlying company. The degree of oversubscription is shownas a multiple, such as ""ABC IPO oversubscribed two times."" A two-times multiplemeans there istwice as much demand for shares as the scheduled issue."
776,Own-Occupation Policy,"An own-occupation insurance policycovers individuals who become disabled and are unable to perform the majority of the occupational duties that they have been trained to perform. This type of insurance policy is contingent on the individual being employed at the time the disability occurs. Own-occupation insurance policies arealso known as a ""pure own-occupational policy.""","When an own-occupation policy goes into effect, the policyholderand the insurance carrier sign a contractthat says the insurance carrier will pay the policyholdera monthly benefit if they become disabled. But what actually determines a disability? The key factor in an own-occupation policy is how ""disabled"" is defined in an insurance contract.Because the definition on own-occupation is very flexible, persons covered under an own-occupation policy may find another job and still receive full benefit payments."
777,PLUS Loan,"A PLUS (Parent Loan for Undergraduate Students) loan is a federal student loan available to graduate or professional students and parents of dependent undergraduate students. Typically with a PLUS Loan, also known as a Direct PLUS loan, the parent borrows money on the student's behalf. To be eligible for a PLUS Loan, a student must be enrolled at least half-time, and the parent must pass a standard credit check. Graduate and professional degree students enrolled at least half-time at an eligible school and working towards a graduate or professional degree can also apply for PLUS loans for their own academic studies.","The major benefit of a PLUS Loan is that the parent can borrow the entire amount the student needs for his/her education. This includes housing, tuition, books, and other related expenses. The maximum available is ""the cost of attendance (determined by the school) less any other financial assistance received,"" according to the Federal Student Aid website. Another notable benefit is that the borrower does not have to demonstrate a financial need to be eligible for the loan."
778,Paid-Up Additional Insurance,"Paid-up additional insurance is additional whole life insurance that a policyholder purchases, using the policys dividends.Paid-up additional insurance is available as a rider on a whole life policy. It lets the policyholder increase theirliving benefit anddeath benefit by increasing the policys cash value. Paid-up additions themselves thenearn dividends, and thevalue continues to compound indefinitelyover time. The policyholder can also surrender paid-up additions for their cash value or take a loan against them.","The cash value of paid-up additional insurancecan increase over time, and these increases are tax-deferred. Another benefit is that the policyholder can use them to increase coverage without going through medical underwriting. This is not only convenientbut alsoextra valuablefor a policyholder, whose health has declined since the policy was originally issued and whocant increase insurance coverage through other means. Even without medical underwriting, paid-up additional insurance may have a higher premium than the base policy because theprice depends on apolicyholders age at the time he or she purchases the extra insurance. Some policies, such as those issued by the Veterans Administration, have no premiums for paid-up additions."
779,Participating Policy,"A participating policy is an insurance contract that pays dividends to the policy holder. Dividends are generated from the profits of the insurance company that sold the policy and are typically paid out on an annual basis over the life of the policy. Most policies also include a final or terminal payment that is paid out when the contract matures. Some participating policies may include a guaranteed dividend amount, which is determined at the onset of the policy. A participating policy is alsoreferred to as a ""with-profits policy.""","Participating policies are typically life insurance contracts, such as a whole life participating policy. The dividend received by the policyholder can be used in several different ways. First, the policyholder can apply the dividend proceeds to the insurance policy's premium payment. Second, the dividend can be kept with the insurance as a deposit in order to generate interest much like a regularsavings account. Finally, the policyholder can simply receive the dividend payment in cash, much like a dividend payment on a stock."
780,Payable Through Draft,Payable-through-draft (PTD) is a method to issue payment via a specific bank. These instruments draw money from the account of the issuing corporation and use them to pay bills. Insurance companies frequently use payable-through-draft to pay claims.,"The face of the payable-through draft check shows the bank's name. However, the bank verifies neither the signature nor the endorsement, which is the responsibility of the issuing company. Credit union share-drafts are also payable-through-draft instruments, usually cleared by a correspondent bank. "
781,Payback Period,"The payback period is the length of time required to recover the cost of an investment. The payback period of a given investment or project is an important determinant of whether to undertake the position or project, as longer payback periods are typically not desirable for investment positions. The payback period ignores the time value of money (TVM), unlike other methods of capital budgeting such as net present value (NPV), internal rate of return (IRR), and discounted cash flow.",Much of corporate finance is about capital budgeting. One of the most important concepts that every corporate financial analyst must learn is how to value different investments or operational projects. The analyst must find a reliable way to determine the most profitable project or investment to undertake. One way corporate financial analysts do this is with the payback period.
782,Peak Debt,Peak Debt is the point at which a household or economy's interest payments become so high compared withincome that a halt in spending must occur. This is typically followed by a period of debt reduction.,"The term ""peak debt"" is said to have been coined by Jaswant Jain, Ph.D., in 2006. Jain concluded that the debt taken on by an economy such as the U.S. economy is important to increase consumption. Debt will eventually rise to a certain exhaustion point. At this point consumption must be cut to pay the interest and debt services."
783,Period Of Indemnity,The period of indemnity is the length of time for which benefits are payable under an insurance policy. It is also used to denote the time period for which indemnity or compensation is payable under a business interruption policy. The period of indemnity is usually the most critical component of quantifying the business interruption loss.,"One of the most important and helpful endorsements to a business interruption policy is the extended period of indemnity endorsement. If the business interruption coverage is being written under more recently issued forms, an automatic 30-day extended period of indemnity is built into the coverage. But absent one of these forms, this endorsement must be added to the policy to extend the indemnity period."
784,Permanent Life Insurance,"Permanent life insurance is an umbrella term for life insurance plans that do not expire, unlike term life insurance, which promises payment of a specified death benefit within a specific period of years.","Typically, permanent life insurance combines a death benefit with a savings portion, allowing policies to build a cash value, against which the policy owner can borrow funds or, in some instances, withdraw cash to help meet needs such as paying for a child's college education or covering medical expenses."
785,Personal Injury Protection - PIP,"Personal injury protection, also known as no-fault insurance, is a feature of automobile insurance that covers the health care expenses associated with treating injuries sustained in a car accident.","Personal injury protection coversmedical expenses for policyholders and theirpassengers who are hurt in auto accidents covered, even if some dont have health insurance. If the cost of necessary medical care exceeds the auto insurance policys personal injury protection limits, health insurance sometimes covers further expenses.Policies have a per-person maximum, meaning that coverage limited to a certain amount per person if numerous people are injured in an accident."
786,Personal Lines Insurance,Personal lines insurance includes property and casualty insurance products that protect individuals from losses they couldnt afford to cover on their own.These types ofinsurance linesmakeit possible to do things like drive a car and own a home without risking financial ruin. Personal lines insurance and commercial lines insurance each make up about half of the property and casualtyinsurance market.,"Personal lines insurance includes products such as homeowners insurance, flood insurance, earthquake insurance, renters insurance, automobile insurance, life insurance, disability insurance, umbrella insurance and health insurance. These insurance products protect individuals and families against potentially crushing financial losses caused by fire, theft, natural disasters, death, accidents, lawsuits and illness."
787,Pet Insurance,"A policy purchased by the owner of a pet that will lessen the overall costs if expensive medical bills are incurred by that pet. This is similar to health insurance policies except that it relates specifically to pets and will cover, either fully or in part, the often expensive fees that are incurred during veterinary procedures. Pet insurance started in the U.S. in 1980, and was the first policy was sold in 1982 for television's Lassie. ","Many animal medical procedures, such as surgeries and sickness, are very expensive to treat. To help with these costs, a pet owner can buy a policy that will save out-of-pocket expenses by paying a yearly or monthly fee known as the premium. The cost and coverage changes with which policy you get and for what type of animal you're insuring. For instance, it costs more for an outdoor cat than an indoor, and premiums are higher for the percentage of coverage you wish to buy. "
788,Pharmacology,"Pharmacology is the study of how drugs affect people. More formally, pharmacology is the study of both the helpful and detrimental effects of natural and synthetic chemicals on biological systems. Pharmacology helps us understand how to treat and prevent diseases and how the chemicals we use in our daily lives or in our jobs might harm us.","Pharmacology is based on biology and chemistry and has been formally studied since the 1860s. The two major branches of pharmacology are pharmacodynamics which examines how drugs affect the body, and pharmacokinetics which is how the body processes drugs. An emerging branch of pharmacology called pharmacogenetics studies how drugs interact with an individuals unique genetic makeup. The science of pharmacology is essential to making sure drugs are absorbed by the body and transported to the right places so they help patients."
789,Pharmacovigilance,"Pharmacovigilance refers to the scientific process of monitoring, evaluating and preventing adverse side effects in drugs and medical therapies. Researchers and medical professionals identify a drugs negative effects and weigh these risks against the benefits of the medication.",Pharmacovigilance (PV) is intended to safeguard patients against unintended consequences of medications by systematically constructing a knowledge base available to stakeholders across the scientific and medical communities.
790,Phase 1,"Phase 1 is the initial introduction of an experimental drug or therapy to humans. This phase is the first step in the clinical research process involved in testing new or experimental drugs. The Center for Drug Evaluation and Research, or CDER, a division of the U.S. Food and Drug Administration, oversees these clinical trials.","Phase 1 clinical studies or clinical trials are focused on the safety aspect of the new drug, rather than its efficacy in treating a disease. Phase 1 trials typically involve 20 to 100 people, a combination of healthy volunteers and patients or people with the condition. If the new drug is intended to treat a form of cancer, the research will involve patients with that type of cancer."
791,Phase 2,"Phase 2 is the second phase of clinical trials or studies for an experimental new drug, in which the focus of the drug is on its effectiveness. The Center for Drug Evaluation and Research, or CDER, a division of the U.S. Food and Drug Administration, oversees these clinical trials.","Phase 2 trials typically involve hundreds of patients who have the disease or condition that the drug candidate seeks to treat. The main objective of Phase 2 trials is to obtain data on whether the drug actually works in treating a disease or indication, which is generally achieved through controlled trials that are closely monitored, while safety and side-effects also continue to be studied."
792,Phase 3,"Phase 3 is the final phase of clinical trials for an experimental new drug, embarked upon if Phase 2 trials show evidence of effectiveness. The Center for Drug Evaluation and Research, or CDER, a division of the U.S. Food and Drug Administration oversees these clinical trials.",
793,Phase 4,"Phase 4 refers to the final of four stages of new drug testing. This phase takes place after the drug has been introduced to the marketplace. Phase 4 testing and reporting builds upon the clinical testing done prior to the drugs release, but it provides more robust data due to a larger sample size.","Phase 4 research, sometimes referred to as post-marketing surveillance (PMS), takes advantage of larger data sets, more naturalized settings and observational rather than interventional methodologies to provide a real-world complement to the research conducted in the three earlier stages of the testing process. Phase 1 focuses on establishing the safety of a drug for human consumption. Phase 2 examines the efficacy of the drug. Large-scale clinical trials take place in Phase 3, which can take years to compile the data necessary for regulatory approval. Phase 4 expands on that clinical testing to examine the effects, adverse and beneficial, of a drug over an extended period of time and among a larger sample of patients."
794,Phenotype,"Phenotype refers to the set of outward, observable appearances and characteristics of an individual organism. When used to describe a human, this set would include body weight, hair length or behavioral qualities such as anxiety.","Phenotype refers to a collection of qualities displayed by an individual. Note that phenotype differs markedly from genotype, which is the complete set of inherited qualities carried by an individual. Genotype contributes to phenotype, but the two are not interchangeable.The qualities that contribute to phenotype come from a combination of inherited genetic attributes and environmental or external factors. In colloquial terms, the genetic factors are sometimes referred to as nature, while the externalities are commonly known as nurture. In scientific terminology, the former is also known as the genotype."
795,Piggyback Registration,A piggyback registration occurs when an underwriterpermits existing company shares to be sold in conjunction with a new public offering. The registration of these securities is said to be piggybackingoff of the initial public offering.,"In a piggyback registration, the underwriter is required to sign off on the idea to set the process in motion. In addition, the arrangement must be noted in the new issue's prospectus. Under these kinds ofarrangements, the prospectus will provide all the details needed, including the names of those selling private shares in the transaction. Piggyback registrations are often done as a means of consolidating all the outstanding sharesand allowing joint ventures to participate in the initial public offering."
796,Pink Slip Party,"A pink slip party is an event that helps recently laid off professionalsnetwork with job recruiters. Pink slip parties usually occur during times of economic upheaval, when unemployment rates are high, and businesses are closing or downsizing.",Pink slip parties are casual gatherings which will sometimes also fundraise for charity while providing job leads and advice to attendees. Another aspect of these parties is that they allow unemployed professionals to network with each other. This can result in the sharing of prospective leads as well as commiserating with other professionals that are experiencing the same career setbacks.
797,Point-of-Service Plan (POS),"A point-of-service plan (POS) is atype of managed-care health insurance plan that provides different benefits depending on whether the policyholder uses in-network or out-of-network health care providers. A POS combines the features of the two most common types of health insurance plans, the health maintenance organization (HMO) and the preferred provider organization (PPO). POS plans only represent a small share of the health insurance market; most policyholders have either HMO or PPO plans.","A point-of-service plan is like an HMO in that it requires the policyholder to choose an in-network primary care doctor and to get referrals from that doctor if they want the plan to cover a specialists services. And a point-of-service plan is like a PPO in that it still provides coverage for out-of-network services, but the policyholder will have to pay more than if they used in-network services. However, the POS plan will pay more toward an out-of-network service if it is referred by the primary care physician than if the policyholder goes outside the network without a referral. The premiums for a POS plan fall in between the lower premiums offered by an HMO and the higher premiums of a PPO."
798,Poison Pill,A poison pill is a tactic utilized by companies to prevent or discourage hostile takeovers. A company targeted for a takeover uses a poison pill strategy to make shares of the company's stock unfavorable to the acquiring firm.,The term poison pill is the common colloquial expression referring to a specially designed shareholder rights plan.
799,Policy Loan,"A policyloan is issued by an insurance company that uses the cash value of a person's life insurance policy as collateral. Sometimesthese loans are referred to as a ""life insurance loan.""Traditionally, policy loans were issued at a very low interest rate, but that is no longer universally true. If aborrower fails to repay a policyloan, the money is withdrawn from the insurance death benefit.","If someone needs access to emergency cash, getting a policy loan, which accesses the cash value of a lifeinsurance policy, is one option – if the policy ispermanent life insurance,available as either whole lifeoruniversal life.Unliketerm life insurance, which does not accumulate cash value, universal or whole life insurance has acash component, especially later on. During the early years of the policy,thepremiummostly goes to funding theindemnitybenefit, but the cash value continues toincreaseas the policy matures."
800,Policy Or Sales Illustration,"A policy or sales illustration is an educational tool that shows a prospective or new insurance policyholder how a life or disability insurance policy works. A policy or sales illustration factors in all apolicys key details, including the applicant's or insureds age, gender and underwriting class (the risk level used to determine premiums).","A policy or sales illustration also shows the insurance products name, term, benefit amount, premium, cash values (if the policy has a cash value component), and projected dividends (if the policy is being issued by a mutual insurance company). The illustration will also describe any policy riders or options. A policy illustration shows how the policys value is expected to change over time and what assumptions those values are based on. A disability policy illustration will also show the waiting period before benefits become payable and describe theconditions that must be met for the policy to pay out."
801,Policy Year Experience,Policy year experience describes the total premiums and losses associated with insurance policiesunderwritten or renewed by an insurance company within a given time period. Policy year experience is one method used by insurance companies to set losses against earned premiums.,"Insurers calculate policy year experience either for individual insurance policiesor in aggregate, meaning the total losses and premiums for an entire set of policies."
802,Policyholder Dividend Ratio,"The ratio of dividends to policyholders to net premiums earned. The policyholder dividend ratio is a measurement of the profitability of an insurance company or the overall insurance industry, and is examined alongside the operating ratio.","The policyholder dividend ratio measures the money flowing out of an insurance company in the form of dividends. Dividends are generated from the premiums generated from the insurers underwriting activities, and in the case of the dividend ratio only premiums earned are taken into account. This is because premiums that an insurer obtains through underwriting activities are treated as a liability until part of the contracts duration has elapsed. As the contract approaches its end date, more and more of the premium is considered earned."
803,Policyholder Surplus,"Policyholder surplus areassets of a policyholder-owned insurance company (also called a mutual insurance company) minus itsliabilities. Policyholder surplus is one indicator of an insurance companys financial health. It gives an insurance company another source of funds, in addition to its reserves and reinsurance, if it needs to pay a higher than expected amount of claims. When an insurance company is publicly owned, its assets minus its liabilities are instead called shareholders equity.","Policyholder surplus is one metric that insurance rating companies use when developing the simple letter ratings ranging from A++ to F. Consumers can turn to these ratings for help in choosing an insurance company that is strong financially. Its important for consumers to choose an insurer that can afford to pay its policyholders claims under varying circumstances, even if a widespread disaster like a severe storm means that thousands of policyholders are simultaneously filing claims."
804,Political Risk Insurance,"Political risk insurance provides financial protection to investors, financial institutions and businesses that face the possibility of losing money because of political events. Political risk insurance protects against the possibility that a government will take some action that causes the insured to experience a large financial loss. Political risk insurance can cover many possibilities, such as expropriation (e.g., government confiscation of property), political violence (e.g., acts of civil unrest or insurrection), the inability to convert local currency and repatriate it, sovereign debt defaultand even acts of terrorism and war.","While developing markets can present a great opportunity for business growth, they also present greater risks than developed markets. Political turbulence can cause assets to decline severely in value orbe destroyed or confiscated and lose value altogether. Without political risk insurance, businesses would be especially reluctant to operate in developing countries with above average levels of political instability that threaten their assets and their ability to operate smoothly."
805,Portfolio Entry,"A portfolio entry is an account of all liabilities a reinsurer is responsible for when entering a reinsurance treaty. A portfolio entry accounts for unearned premiums from policies that are inactive during an accounting period, as well as unearned premiums that carry over into a future accounting period.","An insurance company continuously underwrites policies over the course of the year. At any given time, it will have a portfolio of policies with different expiration dates. At the end of a reporting period, such as a fiscal year, the insurer must identify the dollar amount of premiums earnings and the remaining dollar amount of unearned premiums. Earned premiums are associated with policies that have ended, while unearned premiums, considered liabilities, represent premiums collected on active insurance policies. Active policiesare a liability for the insurance company because the policyholder could still file a claim before the expiration of the policy contract."
806,Portfolio Insurance,"Portfolio insurance is either a method of hedging a portfolio of stocks againstmarket risk by short selling stock index futures, or it can also be brokerage insurance, such as that available fromthe Securities Investor Protection Corporation (SIPC).","Portfolio insurance is ahedging techniquefrequently used by institutional investors whenmarket direction is uncertain or volatile. Short selling index futures can offset any downturns, but it also hinders any gains. This hedging technique is a favorite ofinstitutional investorswhen market conditions are uncertain or abnormally volatile."
807,Portfolio Reinsurance,"Portfolio reinsurance is a type ofcontract in which an insurer has a large block of insurance policies reinsured.Portfolioreinsurance, also known as assumption reinsurance, may involve shifting risk from the insurer to thereinsurerfor a particular type of policy (such aslife insurance), all policies within a geographic area, or for a book of business.","Portfolio reinsurance, like all forms of reinsurance, is a way for insurance companies to mitigate risk and in some cases lower their taxes. It always involves an insurance company buying insurance on policies they have already written. The company buying the reinsurance is called the ceding company or the cedent. Insurance companies balance the risk that they take on whenunderwritingpolicies with thepremiumsthat those policies bring in. The more risk that the insurer takes on, the greater its chance forinsolvency, especially if the policies it underwrites are for a narrow set of insurance types or in a small geographic area. Insurers transfer some of this risk to a reinsurer through the purchase of a reinsurance policy, with the reinsurer accepting some or all of the policy risk in exchange for a fee."
808,Pre-Disability Earnings,"Pre-Disability Earnings is the amount of qualifying income that a disability insurance policyholder was earning before an injury. Pre-disability earnings are used to calculate how much disability income a policyholder will qualify for in the case of an injury. The injury may prevent the policyholder from working at all, or may prevent the policyholder from working full time.","Individuals buy disability income insurance in order to receive some level of income in the case of an injury. Without disability income insurance a worker may rely on Social Security Disability Income (SSDI), or may not have any source of income at all. This can be disastrous to families, especially if the person injured was the sole income earner in the family."
809,Pre-Existing Condition,"A pre-existing condition is any personal illness or health condition that was known and existed prior to the writing and signing of an insurance contract. Health or life insurance policies will often identify a customer's pre-existing conditions before writing an insurance contract for that person, and will typically not cover pre-existing conditions until a specified period of time has elapsed. In some cases, pre-existing conditions may not be covered at all.","Insurance companies typically do not wish to provide insurance coverage for pre-existing conditions, i.e.medical circumstances that are already known to exist."
810,Pre-Existing Condition Exclusion Period,"Pre-Existing Condition Exclusion Period is a health insurance benefit provision that places limits on benefits or excludes benefits for a period of time due to a medical condition that the policyholder had prior to enrolling in a health plan. Pre-existing condition exclusion periods are regulated policy features, meaning that the insurer is likely to have an upper limit on the periodof time the exclusion period will last.","A pre-existing condition exclusion period limits the amount of benefits that an insurer has to provide for specific medical conditions, and does not apply to medical benefits afforded by a health insurance policy for other types of care. For example, a policyholder may be excluded from receiving benefits for a pre-existing heart condition for a period ofmonths after starting a policy, but may still receive care for non-preexisting conditions, such as the flu."
811,Preferred Auto Coverage,"Preferred auto insurance is offered to drivers considered to fall into the lowest risk profile. This takes into account the drivers characteristics, and is offered to drivers considered the least likely to file a benefits claim. These drivers pay the lowest premiums for coverage.","Being able to estimate the risk in underwriting a new policy can make or break an insurance company. If the company prices the policy correctly and understands the claim risk it can be profitable, since the premiums it brings in will exceed the benefits it pays out. Most insurance companies want a mix of low premium drivers who carry reduced risk, and higher premium drivers who are considered more likely to get into an accident. If the insurer does not effectively understand the risk associated with underwriting a policy it can wind up taking on too much risk and paying out more benefits than it receives in the premiums."
812,Preferred Provider Organization (PPO),A preferred provider organization (PPO) is a medical care arrangement in which medical professionals and facilities provide services to subscribed clients at reduced rates. PPO medical and healthcare providers are called preferred providers.,Most health insurance plans are serviced through either apreferred provider organization (PPO) or a health management organization (HMO). PPO participants are free to utilize the services of any provider within their network. Out-of-network care is available but will result in higher costs to the insured.
813,Premium Balance,"Premium balance is the amount of premium that is owed to an insurer for a policy, but which has not yet been paid by the policyholder. The premium balance will decrease in value over the course of the policy term as the policyholder makes installment payments. Policyholders may sometimes request a refund of any unearned premium.","Many insurers allow policyholders to pay for their policies in installments. Paying the full value of a policys premium can be a challenge on your budgetto do all at once, and offering different payment structures allows insurers to reach a broader market. This type of policy feature is most often seen in auto insurance, which may offer monthly, quarterly, semi-annual, and annual installments."
814,Premium Income,Premium income can refer to the proceeds that an investor earns from writing an options contract or the revenue that an insurance carrier earns from policyholders periodic premium payments.,"Premium income is any money received by an individual or business as part orall of a premium payment. The term applies most commonly to options contracts or insurance policies. In both cases, premium income compensates the recipient for the risk that they will have to deliver a financial obligation to the counterparty. In the case of an options contract, that obligation will either be cash or an underlying security. An insurance companys obligation will almost always be cash to replace lost assets."
815,Premium to Surplus Ratio,Premium to surplus ratio isnet premiums written divided by policyholder surplus. Policyholder surplus is the difference between an insurance companys assets and its liabilities.The premium to surplus ratio is used to measure the capacity of an insurance company to underwrite new policies.,"Analysts may look at two formats of the premium to surplus ratio: gross and net. A company with gross written premiums of $2.1 billion, net written premiums of $1.5 billion and a policyholders surplus of $900 million will have a gross premium to surplus ratio of 233% ($2.1 billion / $900 million)) and a net premium to surplus ratio of 167% ($1.5 billion / $900 million)."
816,Prepaid Insurance,"Prepaid Insurance paymentsare made in advance for insurance services or coverage. The period for which insurance is prepaid is generally one year, but may exceed a year in certain cases. Prepaid insurance that expires in a year is classified as a current asset on a corporation's balance sheet.","Unless a claim has been made, prepaid insurance is usually renewable by the policyholder shortly before the expiry date on the same terms and conditions as the original insurance contract. However, the premiums may be marginally higher to account for inflation and other operating factors."
817,Preventive Services,"Preventive services consist ofhealthcare services that includecheck-ups, patient counseling and screenings to prevent illness, disease and other health-related problems. Under the Patient Protection and Affordable Care Act (ACA), the U.S. health reform enacted March 23, 2010, most health plans, including those that can be purchased on the Health Insurance Marketplace, are required to cover a set of preventive services at no cost to the policyholder(meaning that you will not have to pay a copayment or coinsurance or meet your deductible to receive certain preventive services). Covered preventive services for adults, women and children are included in all health insurance plans purchased after Sept. 23, 2010.","Preventive services are intended to help people remain healthy and to detect any health-related problems early while there is a better chance of recovery. There are many methods for prevention of disease. It is recommended that adults and children aim to visit their doctor for regular check-ups, even if they feel healthy, to perform diseasescreening, identify risk factors for disease, discuss tips for a healthy and balanced lifestyle, stay up to date with immunizations and boosters, and maintain a good relationship with a healthcare provider.For adults, covered preventive services include:"
818,Primary Insurance Amount - PIA,Primary insurance amount or PIA is the result of a calculationused to determine the Social Security benefits amount that would be paid out to an eligible retiree at full retirement age.,The primary insurance amount cannot be determined until after calculating the Average Indexed Monthly Earnings (AIME). The AIME is calculated by taking up to 35 years of the highest earnings of a beneficiaries lifeand dividing them by 12. These wages are indexed against the national average salary from two years prior. This is done to give a fair view of the history of wage growth and to estimate how benefits should increase to cover that growth over the life of the retiree.
819,Prime Underwriting Facility,"A prime underwriting facility is a type of revolving underwriting facility, typically a short-term note, in which the lenders yield is pegged to the bank prime rate.","A prime underwriting facility is most often a short-term note with a maturity of one to three years and is an example of a revolving underwriting facility (RUF), with the yield in this case tied to the prime rate."
820,"Principal, Interest, Taxes, Insurance (PITI)","Principal, interest, taxes, insurance (PITI) is the sum of a mortgage payment that includes the principal amount, loan interest, property tax, andhomeowner's property and private mortgage insurance premiums.",
821,Prior Acts Coverage,Prior acts coverage is an insurance policy feature that covers claims made on insurable events that occurred prior to a policys purchase. This simplifies insurance matters for holders of liability insurance who change insurance providers.,"Prior acts coverage typically gets sold in the context of liability insurance, which protects entities from suffering legal repercussions for certain activities they undertake that inadvertently cause injury or damage to others. For example, malpractice insurance may cover legal costs and damages in the event a patient sued a medical practitioner for the provision of negligent care. Since these claims can take time to adjudicate, a business could easily end up filing a claim for an action it committed a year or more earlier."
822,Priori Loss Estimates,"Priori loss estimates refertoa technique used by insurance companies to calculate loss reserves. A priori is Latin forfrom the former,and refers to the development of an estimate using past experiences.",Priori loss estimates are used to determine expected ultimate losses from exposures.
823,Private-Passenger Auto Insurance Policyholder Risk Profile,"Private-passenger auto insurance policyholder risk profile is an estimate of the risk an insurance company will take on by covering a specific automobile operator with an insurance policy. The private-passenger auto insurance policyholder risk profile allows an insurance company to estimate the likelihood that a particular driver will get into an accident, and thus result in a claim being made against a policy. Insurance companies sort policyholders into groups based on their risk profiles.","At its heart, insurance is about accounting for risk, and the private-passenger auto insurance policyholder risk profile is designed to quantify that risk. The more likely a claim is to be made, the higher the premium an insurance company is going to charge. Automobile drivers, who have a history of accidents, live in areas where claims are more likely to be madeor have other attributes associated with higher accident rates, will have to pay a higher premium in order to obtain coverage."
824,Prize Indemnity Insurance,"Prize indemnity insurance, also known as Hole-in-One insurance, is indemnification insurance for a promotion in which participants can win prizes. Prize indemnity insurance makes it possible for companies to hold promotional events with attractive prizes such as cars, vacations, or large cash payouts without taking on the substantial financial risk of having to pay for the award.","The prize indemnityinsurance policy's premium depends on the prizes value and the statistical odds that someone will win the award. Prize indemnity insurance also protects the prize winner by guaranteeing that they will receive the promised prize because the insurer has committed to paying for it. The policys coverage limit equals the insureds potential loss, meaning the value of the prize."
